"","state","year","smoothed_pcinc","nat_avg_pcinc","index_number","allotment_pct","population","weighted_pop","allocation_share","total_federal_hbfunds","predicted_allocation"
"174","Illinois",1960,2486.66666666667,1922.90972222222,1.29317910140521,0.353410449297397,10086000,1259730.76605372,0.0315071993449206,1.85e+08,5828831.87881031
"175","Illinois",1961,2540,1984.125,1.28016128016128,0.35991935991936,10130000,1312259.90938144,0.0323066128063647,1.85e+08,5976723.36917747
"176","Illinois",1962,2590,2041.64583333333,1.26858437330993,0.365707813345034,10280000,1374869.86474371,0.0333298765954942,209728000,6990208.3586198
"177","Indiana",1947,1193,1099.90972222222,1.08463447126342,0.457682764368288,3779000,791600.404870435,0.0236730500972541,7.5e+07,1775478.75729406
"178","Indiana",1948,1213.66666666667,1142.67361111111,1.06212890090857,0.468935549545717,3877000,852554.430906762,0.0252329801652832,7.5e+07,1892473.51239624
"179","Indiana",1949,1249.33333333333,1187.54861111111,1.05202711000134,0.473986444999328,3958000,889216.747870592,0.0256619370165745,7.5e+07,1924645.27624309
"180","Indiana",1950,1314.66666666667,1255.18055555556,1.04739247341573,0.476303763292134,3967000,899974.54563243,0.0253419834102825,1.5e+08,3801297.51154237
"181","Indiana",1951,1366,1298.19444444444,1.05223066224457,0.473884668877715,4096000,919825.11881151,0.0256547787087302,8.5e+07,2180656.19024207
"182","Indiana",1952,1436.66666666667,1355.4375,1.0599283749097,0.47003581254515,4148000,916432.842731014,0.0253621483083518,82500000,2092377.23543903
"183","Indiana",1953,1523,1430.39583333333,1.06474023798774,0.467629881006132,4182000,914510.164860221,0.02510820090637,7.5e+07,1883115.06797775
"184","Indiana",1954,1662,1547.58333333333,1.07393247536482,0.463033762317592,4264000,914202.730156077,0.0247229387686518,6.5e+07,1606991.01996237
"185","Indiana",1955,1801.66666666667,1641.98611111111,1.09724842035814,0.451375789820932,4363000,888918.072165918,0.0237670969643616,9.6e+07,2281641.30857871
