"","stateyear","predicted","hbfunds"
"570","pennsylvania_1956",6603488.81525995,2098130
"571","pennsylvania_1957",7378827.69643824,9839658
"572","pennsylvania_1958",7159084.76367748,11955405
"573","pennsylvania_1959",10724837.8910693,5236361
"574","pennsylvania_1960",10474819.1766119,9851720
"575","pennsylvania_1961",10477789.9050843,11535807
"576","pennsylvania_1962",11927002.3790392,9184709
"577","rhode island_1947",325980.436643843,NA
"578","rhode island_1948",320157.78865385,1382589
"579","rhode island_1949",312539.411245484,16738
"580","rhode island_1950",630533.959922012,907501
"581","rhode island_1951",382423.218073087,NA
"582","rhode island_1952",395921.545571716,75000
"583","rhode island_1953",354835.9870909,NA
"584","rhode island_1954",301975.455713055,10000
"585","rhode island_1955",445423.579760265,775421
"586","rhode island_1956",512640.455291718,977454
"587","rhode island_1957",564970.027386429,421801
"588","rhode island_1958",553876.327831037,774764
"589","rhode island_1959",871699.668103977,1325201
"590","rhode island_1960",877086.495983991,906071
"591","rhode island_1961",860306.11743559,192969
"592","rhode island_1962",955407.882397917,3218181
"593","south carolina_1947",2059787.98399002,NA
"594","south carolina_1948",1999756.23178019,1995295
"595","south carolina_1949",2007362.01627349,11332124
"596","south carolina_1950",4043384.92389659,2013408
"597","south carolina_1951",2321591.33804944,NA
"598","south carolina_1952",2230440.65647726,436567
"599","south carolina_1953",1972901.72060214,1224850
"600","south carolina_1954",1631583.2535539,NA
"601","south carolina_1955",2325221.82381522,1989942
"602","south carolina_1956",2693295.95551567,1986586
"603","south carolina_1957",3119333.45872387,2579252
"604","south carolina_1958",3105008.13790699,3870608
"605","south carolina_1959",4874429.98367516,3332172
"606","south carolina_1960",4925230.06871298,5279462
"607","south carolina_1961",4875458.79564648,6468484
"608","south carolina_1962",5430087.43688591,2863725
"609","south dakota_1947",432077.386937664,NA
"610","south dakota_1948",399951.958627803,586495
"611","south dakota_1949",370724.520040981,250364
"612","south dakota_1950",664562.34407535,622306
"613","south dakota_1951",398760.534352989,527292
"614","south dakota_1952",404318.278932297,NA
"615","south dakota_1953",396495.63825533,163487
"616","south dakota_1954",355619.209357354,357482
"617","south dakota_1955",542188.720431198,402576
"618","south dakota_1956",649054.799324936,1162474
"619","south dakota_1957",740826.419955084,862954
"620","south dakota_1958",734705.710271587,1281845
"621","south dakota_1959",1127778.80736742,1225591
"622","south dakota_1960",1050675.32164466,485813
"623","south dakota_1961",1055938.12625209,1955171
"624","south dakota_1962",1182135.06827433,1865881
"625","tennessee_1947",2748462.18387464,NA
"626","tennessee_1948",2705927.24665641,5211479
"627","tennessee_1949",2753181.8686055,2116098
"628","tennessee_1950",5749894.74591469,4857656
"629","tennessee_1951",3303479.38408734,4422021
"630","tennessee_1952",3146502.07072528,317329
"631","tennessee_1953",2811231.61117684,3723954
"632","tennessee_1954",2448499.90545429,1503824
"633","tennessee_1955",3580888.31387256,1567018
"634","tennessee_1956",3963963.26462308,3917650
"635","tennessee_1957",4372034.03419495,5160591
"636","tennessee_1958",4202140.26250531,6893937
"637","tennessee_1959",6451916.68923516,3731331
"638","tennessee_1960",6327079.5789617,6573897
"639","tennessee_1961",6226319.50820267,3397078
"640","tennessee_1962",7007406.70078145,5506751
